Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Shadowcat vs Steel,https://www.superherodb.com/90-74458/,Shadowcat,Kitty Pryde,Earth-616,Steel,John Irons,Prime Earth,0.0,100.0,0.0
Predator vs Absorbing Man,https://www.superherodb.com/90-74126/,Predator,Yautja,Alien,Absorbing Man,Carl Creel,Earth-616,0.0,100.0,0.0
Giganta vs King Kong,https://www.superherodb.com/90-95985/,Giganta,Doris Zuel,Prime Earth,King Kong,King Kong,,100.0,0.0,0.0
Human Torch vs Magma,https://www.superherodb.com/90-94362/,Human Torch,Johnny Storm,Earth-616,Magma,Amara Aquilla,Earth-616,33.3,66.7,0.0
Multiple Man vs Triplicate Girl,https://www.superherodb.com/90-90818/,Multiple Man,James Madrox,Earth-616,Triplicate Girl,Luornu Durgo,Prime Earth,100.0,0.0,0.0
Jubilee vs Boom-Boom,https://www.superherodb.com/90-90285/,Jubilee,Jubilation Lee,Earth-616,Boom-Boom,Tabitha Smith,Earth-616,50.0,0.0,50.0
Cottonmouth vs Diamondback,https://www.superherodb.com/90-88078/,Cottonmouth,Burchell Clemens,Earth-616,Diamondback,Willis Stryker,Earth-616,80.0,20.0,0.0
Black Panther vs Spider-Man,https://www.superherodb.com/90-87791/,Black Panther,T'Challa,Earth-616,Spider-Man,Miles Morales,Earth-1610,100.0,0.0,0.0
Luke Skywalker vs Venompool,https://www.superherodb.com/90-87536/,Luke Skywalker,Luke Skywalker,Star Wars,Venompool,Wade Wilson,Earth-616,50.0,50.0,0.0
T-1000 vs Godzilla,https://www.superherodb.com/90-86909/,T-1000,Cyberdyne Systems Series 1000 Terminator,Terminator,Godzilla,Gojira,MonsterVerse,0.0,100.0,0.0
Green Lantern vs Green Lantern,https://www.superherodb.com/90-86895/,Green Lantern,Hal Jordan,Prime Earth,Green Lantern,Simon Baz,Prime Earth,100.0,0.0,0.0
Magneto vs Legion,https://www.superherodb.com/90-86765/,Magneto,Max Eisenhardt,Earth-616,Legion,David Haller,Earth-616,0.0,100.0,0.0
Brainiac vs Optimus Prime,https://www.superherodb.com/90-86333/,Brainiac,Vril Dox,Prime Earth,Optimus Prime,Orion Pax,,100.0,0.0,0.0
Lex Luthor vs Optimus Prime,https://www.superherodb.com/90-86225/,Lex Luthor,Lex Luthor,Prime Earth,Optimus Prime,Orion Pax,,0.0,100.0,0.0
T-1000 vs Optimus Prime,https://www.superherodb.com/90-86224/,T-1000,Cyberdyne Systems Series 1000 Terminator,Terminator,Optimus Prime,Orion Pax,,0.0,100.0,0.0
Psylocke vs Darth Maul,https://www.superherodb.com/90-86187/,Psylocke,Elizabeth Braddock,Earth-616,Darth Maul,Maul,Star Wars,33.3,66.7,0.0
Darkman vs Brundlefly,https://www.superherodb.com/90-86018/,Darkman,Peyton Westlake,Darkman,Brundlefly,Seth Brundle,,100.0,0.0,0.0
Hulkling vs General Zod,https://www.superherodb.com/90-85965/,Hulkling,Dorrek VIII,Earth-616,General Zod,Dru-Zod,Prime Earth,0.0,100.0,0.0
Absorbing Man vs Magneto,https://www.superherodb.com/90-85716/,Absorbing Man,Carl Creel,Earth-616,Magneto,Max Eisenhardt,Earth-616,80.0,20.0,0.0
Human Torch vs Optimus Prime,https://www.superherodb.com/90-85551/,Human Torch,Johnny Storm,Earth-616,Optimus Prime,Orion Pax,,100.0,0.0,0.0
Siren vs Mera,https://www.superherodb.com/90-85512/,Siren,Hila,Prime Earth,Mera,Mera,Prime Earth,0.0,100.0,0.0
Stormtrooper vs James T. Kirk,https://www.superherodb.com/90-121720/,Stormtrooper,,Star Wars,James T. Kirk,James T. Kirk,Star Trek,0.0,100.0,0.0
Steel vs Stargirl,https://www.superherodb.com/90-119716/,Steel,John Irons,Prime Earth,Stargirl,Courtney Whitmore,Prime Earth,0.0,100.0,0.0
Shadowcat vs Black Canary,https://www.superherodb.com/90-119658/,Shadowcat,Kitty Pryde,Earth-616,Black Canary,Dinah Laurel Lance,Prime Earth,50.0,50.0,0.0
Predator vs Chewbacca,https://www.superherodb.com/90-119617/,Predator,Yautja,Alien,Chewbacca,,Star Wars,80.0,20.0,0.0
Green Lantern vs Green Lantern,https://www.superherodb.com/90-119460/,Green Lantern,John Stewart,Prime Earth,Green Lantern,Simon Baz,Prime Earth,83.3,16.7,0.0
Colossus vs She-Thing,https://www.superherodb.com/90-119166/,Colossus,Peter Rasputin,Earth-616,She-Thing,Sharon Ventura,Earth-616,100.0,0.0,0.0
Steel vs Luke Cage,https://www.superherodb.com/90-118831/,Steel,John Irons,Prime Earth,Luke Cage,Luke Cage,Earth-616,50.0,50.0,0.0
T-850 vs King Kong,https://www.superherodb.com/90-117218/,T-850,Cyberdyne Systems Series 850 Terminator,Terminator,King Kong,King Kong,,0.0,100.0,0.0
Penguin vs Mister Zsasz,https://www.superherodb.com/90-116951/,Penguin,Oswald Cobblepot,Prime Earth,Mister Zsasz,Victor Zsasz,Prime Earth,0.0,100.0,0.0
Vision vs Optimus Prime,https://www.superherodb.com/90-114914/,Vision,Vision,Earth-616,Optimus Prime,Orion Pax,,0.0,100.0,0.0
Vulture vs Mysterio,https://www.superherodb.com/90-114443/,Vulture,Adrian Toomes,Earth-616,Mysterio,Quentin Beck,Earth-616,0.0,100.0,0.0
Sinestro vs Blue Beetle,https://www.superherodb.com/90-113346/,Sinestro,Thaal Sinestro,Prime Earth,Blue Beetle,Jaime Reyes,Prime Earth,100.0,0.0,0.0
Medusa vs Doctor Octopus,https://www.superherodb.com/90-111193/,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,Doctor Octopus,Otto Octavius,Earth-616,100.0,0.0,0.0
James Bond (Craig) vs James T. Kirk,https://www.superherodb.com/90-106089/,James Bond (Craig),James Bond,James Bond,James T. Kirk,James T. Kirk,Star Trek,100.0,0.0,0.0
Colossus vs He-Man,https://www.superherodb.com/90-101074/,Colossus,Peter Rasputin,Earth-616,He-Man,Prince Adam,MotU,0.0,100.0,0.0
Cyclops vs Jean-Luc Picard,https://www.superherodb.com/90-98182/,Cyclops,Scott Summers,Earth-616,Jean-Luc Picard,Jean-Luc Picard,Star Trek,100.0,0.0,0.0
